iter	MultiClass
0	1.074331725
1	1.051211131
2	1.029500229
3	1.008972046
4	0.9890508419
5	0.9708643386
6	0.95362248
7	0.9363841482
8	0.9208588872
9	0.9055946614
10	0.8914525313
11	0.8779442954
12	0.8645631812
13	0.852957514
14	0.8406550495
15	0.8293334738
16	0.8184331963
17	0.8080048185
18	0.798235591
19	0.7880869275
20	0.7786664315
21	0.7701645728
22	0.7609407265
23	0.7527682552
24	0.7452164256
25	0.7377561333
26	0.7304200352
27	0.7235026726
28	0.7162405528
29	0.7098549384
30	0.7038059131
31	0.6978594397
32	0.6922832662
33	0.6865867099
34	0.6812483004
35	0.6756194478
36	0.6706847371
37	0.6659805408
38	0.661243204
39	0.6563707988
40	0.6515305632
41	0.6472253355
42	0.6428009068
43	0.6386411007
44	0.6345367337
45	0.6310240669
46	0.627406077
47	0.6236795004
48	0.6199323881
49	0.6168546782
50	0.6137259156
51	0.6108558351
52	0.6077164964
53	0.6046348385
54	0.6014168223
55	0.5990462631
56	0.5961399547
57	0.59364838
58	0.5908669094
59	0.5881302263
60	0.5857180794
61	0.5828602347
62	0.5801440889
63	0.5778547929
64	0.5760384822
65	0.5740136267
66	0.5721050279
67	0.5700887025
68	0.5683620632
69	0.5663712539
70	0.5639926254
71	0.5617954431
72	0.5599965218
73	0.5580732728
74	0.5561676095
75	0.5542522908
76	0.5527085627
77	0.550734086
78	0.5491405441
79	0.5474454065
80	0.546143803
81	0.5447599
82	0.5435380146
83	0.5423571295
84	0.5408746348
85	0.539437843
86	0.5379063154
87	0.5366678807
88	0.5352046417
89	0.5335604038
90	0.5321343623
91	0.5313501488
92	0.5298836778
93	0.5290533186
94	0.5277327952
95	0.52664204
96	0.5253625815
97	0.5243068825
98	0.5234059168
99	0.5225520453
100	0.5213483679
101	0.5203764822
102	0.5192686878
103	0.5183834149
104	0.5173421045
105	0.5164735914
106	0.5153756294
107	0.5144028935
108	0.5137547505
109	0.5127999692
110	0.5120886907
111	0.5112173686
112	0.5103830009
113	0.509262419
114	0.5079733378
115	0.5071775099
116	0.5062587939
117	0.5053410214
118	0.5042558403
119	0.5031693943
120	0.5020763339
121	0.5010024934
122	0.5001829444
123	0.4995763904
124	0.4986474857
125	0.497846395
126	0.497118998
127	0.4963639291
128	0.4955945875
129	0.4949546893
130	0.4942027283
131	0.4934718779
132	0.4929128928
133	0.4921203157
134	0.4912035091
135	0.4904792731
136	0.489589751
137	0.4888887613
138	0.4883118719
139	0.4875570043
140	0.4867959982
141	0.4862839731
142	0.4857676034
143	0.4849716574
144	0.4843316551
145	0.4837883167
146	0.4833087801
147	0.4829151677
148	0.4822817581
149	0.4817046463
150	0.4810892185
151	0.4806657905
152	0.4800527912
153	0.4795677469
154	0.4787250003
155	0.4780760104
156	0.4773498904
157	0.4766704771
158	0.4761239886
159	0.4756809963
160	0.4752315481
161	0.474719539
162	0.4742176028
163	0.4735393916
