iter	Passed	Remaining
0	253	202711
1	346	138252
2	456	121191
3	560	111628
4	662	105416
5	766	101370
6	873	98926
7	962	95287
8	1068	93910
9	1170	92442
10	1267	90910
11	1366	89713
12	1472	89153
13	1570	88186
14	1699	88917
15	1802	88334
16	1914	88191
17	2005	87138
18	2110	86741
19	2232	87085
20	2323	86200
21	2433	86075
22	2548	86109
23	2658	85957
24	2751	85311
25	2848	84789
26	2947	84384
27	3051	84141
28	3147	83681
29	3250	83434
30	3343	82951
31	3465	83160
32	3546	82421
33	3644	82107
34	3732	81580
35	3835	81402
36	3921	80871
37	4025	80714
38	4130	80590
39	4229	80352
40	4344	80426
41	4448	80279
42	4522	79624
43	4620	79388
44	4716	79129
45	4825	79097
46	4921	78854
47	5020	78656
48	5108	78291
49	5207	78116
50	5307	77953
51	5428	78093
52	5532	77981
53	5636	77866
54	5729	77605
55	5826	77412
56	5927	77262
57	6027	77116
58	6118	76844
59	6214	76648
60	6320	76574
61	6433	76577
62	6522	76304
63	6623	76164
64	6745	76272
65	6849	76175
66	6948	76023
67	7063	76040
68	7196	76239
69	7285	75972
70	7384	75822
71	7484	75673
72	7596	75648
73	7701	75560
74	7808	75483
75	7909	75345
76	8022	75328
77	8146	75403
78	8243	75238
79	8351	75166
80	8450	75013
81	8546	74837
82	8647	74705
83	8761	74685
84	8892	74798
85	8987	74618
86	9094	74531
87	9210	74520
88	9314	74409
89	9417	74293
90	9514	74129
91	9624	74063
92	9728	73954
93	9834	73864
94	9968	73980
95	10076	73897
96	10190	73851
97	10283	73664
98	10400	73643
99	10495	73468
100	10629	73562
101	10733	73447
102	10845	73391
103	10945	73253
104	11054	73169
105	11139	72934
106	11237	72778
107	11343	72680
108	11448	72578
109	11545	72421
110	11662	72393
111	11765	72276
112	11883	72245
113	11989	72144
114	12108	72124
115	12219	72055
116	12322	71933
117	12417	71771
118	12516	71628
119	12615	71488
120	12707	71311
121	12815	71223
122	12913	71075
123	13008	70914
124	13110	70798
125	13218	70708
126	13312	70545
127	13430	70508
128	13526	70357
129	13643	70313
130	13759	70266
131	13869	70190
132	13971	70069
133	14080	69981
134	14189	69896
135	14286	69752
136	14389	69639
137	14491	69519
138	14587	69367
139	14694	69275
140	14798	69166
141	14907	69079
142	15023	69023
143	15108	68829
144	15207	68697
145	15297	68526
146	15408	68447
147	15529	68415
148	15632	68302
149	15728	68155
150	15830	68038
151	15941	67960
152	16033	67801
153	16139	67702
154	16230	67541
155	16337	67442
156	16428	67282
157	16538	67199
158	16679	67244
159	16785	67143
160	16899	67073
161	16997	66942
162	17112	66875
163	17211	66746
164	17311	66624
165	17410	66494
166	17508	66365
167	17593	66183
168	17697	66076
169	17812	66011
170	17968	66092
171	18077	66003
172	18183	65901
173	18276	65754
174	18405	65733
175	18520	65664
176	18628	65568
177	18738	65480
178	18858	65424
179	18969	65340
180	19077	65242
181	19200	65198
182	19322	65145
183	19409	64979
184	19497	64817
185	19602	64710
186	19706	64598
187	19841	64590
188	19943	64471
189	20039	64338
190	20168	64306
191	20286	64241
192	20409	64188
193	20507	64058
194	20613	63955
195	20714	63834
196	20824	63742
197	20946	63684
198	21044	63556
199	21146	63438
200	21218	63233
201	21321	63118
202	21426	63014
203	21527	62894
204	21630	62781
205	21722	62635
206	21821	62512
207	21916	62377
208	22032	62303
209	22119	62145
210	22225	62040
211	22331	61938
212	22419	61784
213	22541	61726
214	22648	61625
215	22738	61477
216	22858	61413
217	22969	61322
218	23076	61222
219	23176	61101
220	23286	61008
221	23389	60897
222	23498	60799
223	23594	60670
224	23687	60535
225	23805	60461
226	23902	60336
227	24003	60218
228	24095	60081
229	24203	59983
230	24309	59880
231	24403	59746
232	24517	59663
233	24622	59557
234	24724	59444
235	24826	59331
236	24916	59189
237	25007	59051
238	25103	58925
